id,Canton,Siege_2020,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11,Soleure,100,4.17,4.17,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,9.72,9.72,9.72,9.72,11.11,11.11,11.11,11.11,34.72,34.72,34.72,34.72,29.86,29.86,29.86,29.86,23.61,23.61,23.61,23.61,22.00,22.00,22.00,22.00,26.00,26.00,26.00,26.00,30.00,30.00,30.00,30.00,29.00,29.00,29.00,29.00
12,Bâle-Ville,100,16.2,16.90,16.90,16.90,16.90,16.20,16.20,16.20,16.20,24.60,24.60,24.60,24.60,26.90,26.90,26.90,26.90,29.20,29.20,29.20,29.20,30.80,30.80,30.80,30.80,34.60,34.60,34.60,34.60,36.20,36.20,36.20,36.20,37.00,37.00,37.00,37.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,42.00
13,Bâle-Campagne,90,16.3,16.30,16.30,16.30,17.50,17.50,17.50,17.50,14.30,14.30,14.30,14.30,19.00,19.00,19.00,19.00,27.40,27.40,27.40,27.40,25.60,25.60,25.60,25.60,32.20,32.20,32.20,32.20,33.30,33.30,33.30,33.30,34.40,34.40,34.40,34.40,35.60,35.60,35.60,35.60,37.80,37.80,37.80,37.80,40.00,40.00
14,Schaffhouse,60,3.8,5.00,5.00,5.00,5.00,7.50,7.50,7.50,7.50,13.80,13.80,13.80,13.80,15.00,15.00,15.00,15.00,16.30,16.30,16.30,16.30,17.50,17.50,17.50,17.50,22.50,22.50,22.50,22.50,21.30,21.30,21.30,21.30,15.00,15.00,15.00,15.00,16.70,16.70,16.70,16.70,23.30,23.30,23.30,23.30,26.67
15,Appenzell Rh-Ext,65,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,6.90,6.90,15.90,15.90,15.90,15.90,15.90,15.90,32.30,32.30,32.30,32.30,24.60,24.60,24.60,24.60,23.10,23.10,23.10,23.10,21.50,21.50,21.50,21.50,23.10,23.10,23.10,23.10,33.84,33.85
16,Appenzell Rh-Int,50,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.60,1.60,1.60,19.60,19.60,19.60,19.60,19.60,19.60,19.60,19.60,16.30,16.30,16.30,16.30,20.40,20.40,20.40,20.40,22.40,22.40,22.40,22.40,30.00,30.00,30.00,30.00,24.00,24.00
17,Saint-Gall,120,6.1,8.30,8.30,8.30,8.30,8.90,8.90,8.90,8.90,10.00,10.00,10.00,10.00,11.70,11.70,11.70,11.70,14.40,14.40,14.40,14.40,21.70,21.70,21.70,21.70,19.40,19.40,19.40,19.40,25.60,25.60,25.60,25.60,24.20,24.20,24.20,24.20,22.50,22.50,22.50,22.50,18.30,18.30,18.30,18.30,26.67
18,Grisons,120,2.5,2.50,2.50,2.50,1.70,1.70,1.70,1.70,5.00,5.00,5.00,5.00,13.30,13.30,13.30,13.30,6.70,6.70,6.70,15.00,15.00,15.00,16.70,16.70,16.70,14.20,14.20,14.20,20.00,20.00,20.00,21.70,21.70,21.70,21.70,21.70,21.70,21.70,21.70,19.20,19.20,19.20,19.20,21.70,21.70,21.67
19,Argovie,140,6.5,6.50,12.00,12.00,12.00,12.00,14.00,14.00,14.00,14.00,14.00,9.00,9.00,9.00,18.50,18.50,18.50,18.50,31.50,31.50,31.50,31.50,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,36.40,36.40,36.40,36.40,26.40,26.40,26.40,31.40,31.40,31.40,31.40,36.40,36.40,36.40,36.40,31.43
20,Thurgovie,130,0.8,2.30,2.30,2.30,2.30,5.40,5.40,5.40,5.40,5.40,4.60,4.60,4.60,13.80,13.80,13.80,13.80,16.20,16.20,16.20,16.20,18.50,18.50,18.50,18.50,25.40,25.40,25.40,25.40,30.80,30.80,30.80,30.80,27.70,27.70,27.70,27.70,26.90,26.90,26.90,26.90,26.20,26.20,26.20,26.20,33.85
21,Tessin,90,12.2,12.20,12.20,12.20,11.90,11.90,11.90,11.90,7.80,7.80,7.80,7.80,13.30,13.30,13.30,13.30,14.40,14.40,14.40,14.40,14.40,14.40,14.40,14.40,10.00,10.00,10.00,10.00,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,14.40,14.40,14.40,14.40,24.40,24.40,24.40,24.40,34.40,34.44
22,Vaud,150,8,8.00,8.00,12.00,12.00,12.00,12.00,11.50,11.50,11.50,25.00,25.00,25.00,25.00,25.00,15.50,15.50,15.50,15.50,20.50,20.50,20.50,20.50,24.40,24.40,24.40,24.40,23.90,23.90,23.90,23.90,23.90,29.30,29.30,29.30,29.30,29.30,30.00,30.00,30.00,30.00,30.00,32.00,32.00,32.00,32.00
23,Valais,130,5.4,5.40,4.60,4.60,4.60,4.60,5.40,5.40,5.40,5.40,4.60,4.60,4.60,4.60,6.90,6.90,6.90,6.90,10.80,10.80,10.80,10.80,16.20,16.20,16.20,16.20,13.10,13.10,13.10,13.10,20.80,20.80,20.80,20.80,21.50,21.50,21.50,21.50,16.20,16.20,16.20,16.20,19.20,19.20,19.20,19.20
24,Neuchâtel,115,6.1,6.10,7.80,7.80,7.80,7.80,13.00,13.00,13.00,13.00,9.60,9.60,9.60,9.60,13.90,13.90,13.90,13.90,27.80,27.80,27.80,27.80,28.70,28.70,28.70,28.70,29.60,29.60,29.60,29.60,29.60,29.60,29.60,29.60,26.10,26.10,26.10,26.10,22.60,22.60,22.60,22.60,33.90,33.90,33.90,33.90
25,Genève,100,13,13.00,22.00,22.00,22.00,22.00,20.00,20.00,20.00,20.00,25.00,25.00,25.00,25.00,32.00,32.00,32.00,32.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,23.00,23.00,23.00,23.00,31.00,31.00,31.00,31.00,28.00,28.00,28.00,28.00,26.00,26.00,26.00,26.00,32.00,32.00,32.00,32.00
26,Jura,60,-1,-1,-1,6.70,6.70,6.70,6.70,8.30,8.30,8.30,8.30,8.30,8.30,8.30,8.30,13.30,13.30,13.30,13.30,13.30,13.30,13.30,13.30,20.00,20.00,20.00,20.00,23.30,23.30,23.30,23.30,23.30,23.30,23.30,23.30,15.00,15.00,15.00,15.00,15.00,25.00,25.00,25.00,25.00,25.00,25.00
